表3.生产过程清单数据表,,,,,
类型,清单名称,数量,单位,上游数据来源,用途/排放原因
产品,米粽生产,10万套,t,—,/
消耗,液化天然气消耗量,3.65,t,—,能源
消耗,电力消耗量,3888,kWh,—,能源

